Y1_1,Y1_2,Y1_3,Y1_4,Y1_5,Y1_6,Y8_1,Y8_2,Y8_3,Y8_4,Y8_5,Y8_6,Y8_7,Y8_8,Y8_9,Y11_1,Y11_2,Y11_3,Y11_4,Y11_5,Y19_1,Y19_2,Y19_3,Y19_4,Y20_1,Y20_2,Y20_3,Y20_4,Y20_5,SQ1K1,SQ1K2_1,SQ1K3,SQ1K4,유형,SQ2K3,SQ3K1,org_identification,equity_climate,inclusion_climate,ethical_leadership,ocb,upb
3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,1988.0,1.0,1.0,민간,,1.0,4.333333333333333,4.4,4.25,4.0,4.25,3.6
5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,1972.0,1.0,1.0,민간,,1.0,4.833333333333333,4.6,4.5,4.4,4.5,4.2
2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1967.0,1.0,1.0,민간,,1.0,2.5,2.0,3.0,2.0,3.5,3.0
5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0,1.0,1971.0,1.0,1.0,민간,,1.0,4.5,4.4,4.25,5.0,5.0,3.4
3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1976.0,9.0,1.0,민간,,1.0,2.8333333333333335,3.2,3.25,3.2,3.0,3.0
2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1972.0,9.0,1.0,민간,,1.0,3.3333333333333335,3.2,2.75,2.4,3.5,2.6
3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1980.0,1.0,1.0,민간,,1.0,3.3333333333333335,3.2,2.5,1.8,3.5,3.2
4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,1986.0,9.0,1.0,민간,,1.0,3.6666666666666665,3.0,3.75,3.8,4.25,2.4
4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1977.0,1.0,1.0,민간,,1.0,3.6666666666666665,1.4,3.75,2.8,3.75,3.4
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1988.0,1.0,1.0,민간,,1.0,4.0,3.0,3.25,3.0,3.0,3.0
