lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
Y8_1,~,dei,1.0,0.7412507685719244,-,-,-
Y8_2,~,dei,1.0747566767694763,0.7877615938510305,0.030230765973209516,35.55175140737,0.0
Y8_3,~,dei,1.0192965270126795,0.7529141057073707,0.030109787277040678,33.85266450407842,0.0
Y8_4,~,dei,1.110281333382057,0.8162517723949267,0.030052001167741177,36.9453377546426,0.0
Y8_5,~,dei,1.1374855157535428,0.8309486942752389,0.030201763083380313,37.66288453344717,0.0
Y8_6,~,dei,0.9662836004258276,0.7276425383882115,0.029615132892573916,32.62803526488642,0.0
Y8_7,~,dei,0.6745890807450868,0.5753414330237898,0.02654024466849873,25.41759087550371,0.0
Y8_8,~,dei,0.7370204945039195,0.5946068522382727,0.028009106541069917,26.31360244915019,0.0
Y8_9,~,dei,0.816916070153019,0.6749045337360903,0.027142147639706408,30.097694588023316,0.0
dei,~~,dei,0.6086308684090651,1.0,0.03211830078032635,18.94965965207364,0.0
Y8_1,~~,Y8_1,0.4990729726950865,0.45054729809153143,0.017605156817042833,28.34811287699558,0.0
Y8_2,~~,Y8_2,0.42985130556081563,0.37943167125328414,0.015823910703234023,27.164669568427218,0.0
Y8_3,~~,Y8_3,0.4831397669548204,0.43312034942687044,0.017196987279559296,28.094442303914256,0.0
Y8_4,~~,Y8_4,0.3758122971723277,0.33373304406214077,0.014378794886050364,26.136564303506876,0.0
Y8_5,~~,Y8_5,0.3530140661298099,0.30952426748227563,0.013859534137653843,25.47084646555787,0.0
Y8_6,~~,Y8_6,0.5050335141092075,0.47053633632796027,0.017648857680347817,28.615648855446995,0.0
Y8_7,~~,Y8_7,0.5597522827497832,0.6689822354461319,0.018415698893752986,30.39538634666036,0.0
Y8_8,~~,Y8_8,0.6044819182188944,0.6464426912712928,0.019983609983038858,30.248884896257543,0.0
Y8_9,~~,Y8_9,0.48554013408045205,0.5445038703424705,0.016496613222534755,29.43271612792378,0.0
