item,factor,loading_baseline,loading_clf,delta_loading,R2_baseline,R2_clf,delta_R2,method_loading,method_R2
Y8_1,equity,0.767,0.0,-0.767,0.589,0.0,-0.589,0.78,0.608
Y8_2,equity,0.821,0.0,-0.821,0.674,0.0,-0.674,0.814,0.662
Y8_3,equity,0.757,0.0,-0.757,0.574,0.0,-0.574,0.758,0.574
Y8_4,equity,0.836,0.0,-0.836,0.699,0.0,-0.699,0.823,0.678
Y8_5,equity,0.839,0.0,-0.839,0.704,0.0,-0.704,0.843,0.71
Y8_6,inclusion,0.775,0.364,-0.411,0.601,0.133,-0.469,0.679,0.461
Y8_7,inclusion,0.75,0.629,-0.12,0.562,0.396,-0.166,0.482,0.232
Y8_8,inclusion,0.753,0.605,-0.149,0.567,0.365,-0.202,0.503,0.253
Y8_9,inclusion,0.806,0.521,-0.285,0.65,0.271,-0.379,0.606,0.367
Y1_1,oi,0.652,0.596,-0.055,0.425,0.356,-0.069,0.295,0.087
Y1_2,oi,0.633,0.534,-0.099,0.401,0.285,-0.116,0.345,0.119
Y1_3,oi,0.618,0.49,-0.128,0.382,0.24,-0.142,0.372,0.139
Y1_4,oi,0.75,0.586,-0.164,0.563,0.344,-0.219,0.456,0.208
Y1_5,oi,0.841,0.722,-0.12,0.708,0.521,-0.187,0.43,0.185
Y1_6,oi,0.5,0.52,0.019,0.25,0.27,0.02,0.148,0.022
Y11_1,el,0.825,0.416,-0.409,0.68,0.173,-0.507,0.709,0.502
Y11_2,el,0.871,0.524,-0.347,0.758,0.275,-0.484,0.702,0.493
Y11_3,el,0.87,0.504,-0.366,0.757,0.254,-0.503,0.711,0.505
Y11_4,el,0.821,0.46,-0.361,0.674,0.211,-0.463,0.679,0.461
Y11_5,el,0.858,0.494,-0.364,0.736,0.244,-0.492,0.701,0.492
Y19_1,ocb,0.644,0.645,0.001,0.414,0.416,0.001,0.155,0.024
Y19_2,ocb,0.788,0.773,-0.015,0.62,0.597,-0.023,0.226,0.051
Y19_3,ocb,0.747,0.674,-0.073,0.558,0.454,-0.104,0.297,0.088
Y19_4,ocb,0.745,0.676,-0.069,0.555,0.456,-0.099,0.287,0.082
Y20_1,upb,0.839,0.808,-0.032,0.704,0.652,-0.052,0.231,0.053
Y20_2,upb,0.863,0.833,-0.029,0.744,0.694,-0.05,0.232,0.054
Y20_3,upb,0.702,0.667,-0.036,0.493,0.444,-0.049,0.215,0.046
Y20_4,upb,0.442,0.415,-0.027,0.195,0.173,-0.023,0.145,0.021
Y20_5,upb,0.633,0.595,-0.037,0.4,0.354,-0.046,0.208,0.043
