item,factor,unstd,std
Y8_1,equity,1.0,0.7674
Y8_2,equity,1.0813,0.8207
Y8_3,equity,0.9901,0.7574
Y8_4,equity,1.0979,0.8358
Y8_5,equity,1.1088,0.8388
Y8_6,inclusion,1.0,0.7753
Y8_7,inclusion,0.8536,0.7496
Y8_8,inclusion,0.9066,0.7531
Y8_9,inclusion,0.9474,0.8061
Y1_1,oi,1.0,0.6516
Y1_2,oi,0.9119,0.6332
Y1_3,oi,0.9982,0.618
Y1_4,oi,1.1612,0.7503
Y1_5,oi,1.2576,0.8413
Y1_6,oi,0.7146,0.5004
Y11_1,el,1.0,0.8247
Y11_2,el,1.1615,0.8709
Y11_3,el,1.1375,0.8699
Y11_4,el,1.072,0.821
Y11_5,el,1.1257,0.8577
Y19_1,ocb,1.0,0.6437
Y19_2,ocb,1.1531,0.7877
Y19_3,ocb,1.1393,0.7471
Y19_4,ocb,1.0801,0.745
Y20_1,upb,1.0,0.8393
Y20_2,upb,1.059,0.8626
Y20_3,upb,0.8325,0.7022
Y20_4,upb,0.522,0.442
Y20_5,upb,0.7622,0.6328
