dv,predictor,b,se,z,p,beta_std
oi,equity,0.2818,0.0324,8.7066,0.0,0.3242
oi,inclusion,0.2604,0.033,7.882,3.3306690738754696e-15,0.2981
upb,oi,0.1953,0.0402,4.8593,1.177859619394539e-06,0.1556
upb,equity,0.3351,0.0528,6.3521,2.1245027959082563e-10,0.3072
upb,inclusion,-0.1109,0.0466,-2.3777,0.01742122022942927,-0.1012
upb,el,-0.0319,0.0411,-0.7759,0.437799093715725,-0.0303
ocb,oi,0.2451,0.0262,9.3502,0.0,0.3035
ocb,equity,-0.1961,0.033,-5.948,2.7141198177815795e-09,-0.2794
ocb,inclusion,0.3201,0.0308,10.4014,0.0,0.4537
ocb,el,0.0778,0.0253,3.0683,0.002152954359794901,0.1147
