dv,predictor,b,se,z,p,beta_std,t5_beta,t5_p,note,부호일치,유의성일치
oi,equity,0.2473,0.0311,7.9535,1.7763568394002505e-15,0.286,,,표5 미포함(단순매개),❌,✓
oi,inclusion,0.2742,0.0321,8.5497,0.0,0.3165,,,표5 미포함(단순매개),❌,✓
oi,gender_male,-0.0411,0.029,-1.4181,0.1561712147587142,-0.0292,,,,❌,⚠️
oi,age,0.0204,0.0017,12.2369,0.0,0.2748,,,,❌,✓
oi,public_org,-0.0153,0.0287,-0.533,0.5940196029223079,-0.011,,,,❌,⚠️
upb,oi,0.2296,0.0426,5.3897,7.058861384301451e-08,0.1822,0.15,<.001,H3 UPB측,✓,✓
upb,equity,0.293,0.0522,5.6178,1.9339977397336838e-08,0.269,0.195,<.001,H4 형평→UPB,✓,✓
upb,inclusion,-0.1057,0.0468,-2.2588,0.02389681688012013,-0.0968,-0.033,.307,H4 교차(ns),✓,❌(sig→sig→?)
upb,el,-0.0103,0.0409,-0.2519,0.8010973177633074,-0.0098,,,표5 미포함(표4),❌,⚠️
upb,gender_male,-0.0443,0.0415,-1.0672,0.28589498504638167,-0.025,-0.017,.651,통제,✓,✓
upb,age,-0.0084,0.0024,-3.4853,0.0004916676363677652,-0.0901,-0.007,.001,통제,✓,✓
upb,public_org,-0.1669,0.0412,-4.0541,5.032838777574433e-05,-0.095,-0.149,<.001,통제,✓,✓
ocb,oi,0.2325,0.0273,8.5182,0.0,0.2867,0.215,<.001,H3 OCB측,✓,✓
ocb,equity,-0.1586,0.0324,-4.9039,9.394030993092883e-07,-0.2263,-0.042,.052,H4 교차(ns†),✓,❌(sig→sig→?)
ocb,inclusion,0.3072,0.0306,10.0294,0.0,0.4372,0.281,<.001,H4 포용→OCB,✓,✓
ocb,el,0.0637,0.0251,2.5376,0.011161108605372227,0.0943,,,표5 미포함(표4),❌,✓
ocb,gender_male,-0.0578,0.0253,-2.2825,0.022457485328523097,-0.0508,-0.058,.029,통제,✓,✓
ocb,age,0.0039,0.0015,2.6419,0.008244617006002652,0.0648,0.005,.001,통제,✓,✓
ocb,public_org,0.1135,0.0253,4.4916,7.067685946715585e-06,0.1003,0.129,<.001,통제,✓,✓
