analysis,effect,baseline_UPB5,UPB4,change,conclusion_stability
OLS,OLS Equity -> UPB,0.195,0.22090756183315005,0.025907561833150045,stable
OLS,OLS Inclusion -> UPB,-0.033,-0.058353373279958654,-0.025353373279958652,stable
OLS,OLS OI -> UPB,0.15,0.14951264146475926,-0.0004873585352407339,stable
H3,H3 OI -> UPB,0.144,0.15127103712427648,0.007271037124276486,stable
H3,H3 OI->OCB minus OI->UPB,0.101,0.09379568734101307,-0.007204312658986939,stable
H4,H4 Equity->UPB minus Inclusion->UPB,0.248,0.28470156097527144,0.03670156097527144,stable
Mediation,Mediation Equity indirect,0.034,0.0385127864932898,0.004512786493289796,stable
Mediation,Mediation Inclusion indirect,0.038,0.04301595988989527,0.005015959889895269,stable
Mediation,Mediation indirect difference,0.004,0.00450317339660547,0.0005031733966054698,stable
Moderation,Moderation OI x EL,-0.062,-0.06353213409696144,-0.0015321340969614433,stable
ModMed,ModMed Equity index,-0.027,-0.023910055932119437,0.003089944067880563,stable
ModMed,ModMed Inclusion index,-0.026,-0.02614046250181874,-0.00014046250181874026,stable
Latent,Latent SEM OI -> UPB,0.182,0.18495674302362547,0.0029567430236254744,stable
Latent,Latent SEM Equity -> UPB,0.269,0.2725828456274728,0.003582845627472797,stable
Latent,Latent interaction OI x EL,-0.087,-0.0850508742957494,0.0019491257042505983,stable
