effect,estimate,ci_low,ci_high,type
Inclusion -> OCB,0.33105327740705054,0.2701028196408928,0.3922984160102333,path
Equity -> OCB,-0.055290135008034216,-0.10906407616717635,0.0014749423592247339,path
Equity -> UPB4,0.2294558178032601,0.1633846168179968,0.295967484871376,path
Inclusion -> UPB4,-0.055245743172011336,-0.11743097387302892,0.00649461640135049,path
OI -> OCB,0.24506672446528957,0.19251118377080498,0.2977152044610525,path
OI -> UPB4,0.15127103712427648,0.0965803611062455,0.2059624825092779,path
Inclusion->OCB minus Equity->OCB,0.38634341241508474,0.28185030860291677,0.48686628977379115,contrast
Equity->UPB4 minus Inclusion->UPB4,0.28470156097527144,0.1729012150736274,0.39573265801495144,contrast
Inclusion->OCB minus Inclusion->UPB4,0.38629902057906185,0.30190856600854865,0.4704135991032651,contrast
Equity->UPB4 minus Equity->OCB,0.28474595281129433,0.1973972613387749,0.3734953653839973,contrast
