dv,predictor,b,se,z,p,beta_std
oi,equity,0.24720965987916274,0.0310801028800152,7.953952431417688,1.7763568394002505e-15,0.28602373490024413
oi,inclusion,0.2742235519377524,0.032067268185319374,8.551509606132973,0.0,0.3165580674251441
oi,gender_male,-0.04104832883151921,0.028949234990881458,-1.417941746751886,0.15620777283945042,-0.029242875439540742
oi,age,0.020402626486629286,0.0016670044158905717,12.239095637602373,0.0,0.27489445572472393
oi,public_org,-0.015286239468804802,0.028693507768710477,-0.5327420959294947,0.5942121217172458,-0.010963723828120246
upb4,oi,0.23438647476576796,0.0428933163024887,5.464405528996234,4.644606499404347e-08,0.18495674302362547
upb4,equity,0.29855494083516815,0.052487057671302,5.688163026763052,1.2841320451428828e-08,0.2725828456274728
upb4,inclusion,-0.11515387186758534,0.047105649571543534,-2.444587282258922,0.014501798630327078,-0.10489741865099704
upb4,el,-0.011910324823157336,0.04113146149062759,-0.2895672653300129,0.7721473129983119,-0.01127691555755406
upb4,gender_male,-0.05177975135150125,0.041738611438326384,-1.2405719683984036,0.21476391260444805,-0.029108657507901512
upb4,age,-0.008347028978607772,0.0024322894826584044,-3.4317580348425523,0.000599682341209995,-0.08874613437283854
upb4,public_org,-0.1670767829610378,0.041425043367856684,-4.03323133480763,5.501507219407564e-05,-0.09456080372405128
ocb,oi,0.23237192164554418,0.027304085114690943,8.510518505232982,0.0,0.2864450081438734
ocb,equity,-0.15860066150184116,0.032349483945353995,-4.902726169136201,9.451569553675654e-07,-0.22620345781264442
ocb,inclusion,0.307293077729312,0.03063117642341566,10.032036428231116,0.0,0.43727940158189743
ocb,el,0.06392072757278838,0.02512843340441709,2.543760947668493,0.01096661089131068,0.09454279099476656
ocb,gender_male,-0.05762614645173939,0.02534656275191716,-2.2735290387690594,0.02299431824078657,-0.050605973183170415
ocb,age,0.0039006674811254954,0.001477797648995119,2.6395139288104694,0.00830250113928832,0.06478529494248865
ocb,public_org,0.11354129864908127,0.025266486534646387,4.4937509807267935,6.997945608544498e-06,0.10038501644594859
