scale,item,loading_std,loading_unstd,factor
UPB5,Y20_1,0.8397009189153053,1.0,
UPB5,Y20_2,0.8642460712099044,1.060502640931718,
UPB5,Y20_3,0.7000529293905329,0.8294013859277468,
UPB5,Y20_4,0.44126626833743066,0.5208437700098671,
UPB5,Y20_5,0.6314726306650856,0.7602822061705803,
UPB4,Y20_1,0.8436868090054498,1.0,
UPB4,Y20_2,0.8718286391534898,1.0648595590950591,
UPB4,Y20_3,0.6919559167042278,0.8160518768018732,
UPB4,Y20_5,0.6179117858427446,0.7405340266488653,
UPB4 six-factor CFA,Y20_1,0.8437135312194026,1.0,upb4
UPB4 six-factor CFA,Y20_2,0.8696599515831289,1.0621555665572304,upb4
UPB4 six-factor CFA,Y20_3,0.6942531072210002,0.8186815022509574,upb4
UPB4 six-factor CFA,Y20_5,0.6196593774730593,0.7426745265285155,upb4
