model,term,beta_std,robust_se,p,r2,delta_r2
Model 1,gender_male,0.0001753709991260191,0.022765667471637413,0.9938537084883399,0.02005250852304452,
Model 1,age,-0.018981023636334242,0.02321157928471274,0.4135059899359561,0.02005250852304452,
Model 1,public_org,-0.14496525858599663,0.02259161707390825,1.3919403589468925e-10,0.02005250852304452,
Model 2,gender_male,-0.0270657477466801,0.022291540143945413,0.2246823266205954,0.08337677560712187,0.06332426708407735
Model 2,age,-0.03200686606476007,0.02262682811742947,0.15719935792618464,0.08337677560712187,0.06332426708407735
Model 2,public_org,-0.09451643968720641,0.022697774550310343,3.125446797794332e-05,0.08337677560712187,0.06332426708407735
Model 2,equity_climate,0.2690791015802541,0.032634114535336434,1.6470258618067236e-16,0.08337677560712187,0.06332426708407735
Model 2,inclusion_climate,-0.015570340482907468,0.031026219302660453,0.6157768405655879,0.08337677560712187,0.06332426708407735
Model 3,gender_male,-0.02271611801576198,0.022075210312039246,0.3034642080226302,0.0992431457151488,0.01586637010802694
Model 3,age,-0.07059501822496077,0.0231157847836408,0.002258312447405286,0.0992431457151488,0.01586637010802694
Model 3,public_org,-0.09659333865893838,0.02255478175250418,1.8471358863938684e-05,0.0992431457151488,0.01586637010802694
Model 3,equity_climate,0.2294558178032602,0.03305794106158984,3.892799126756588e-12,0.0992431457151488,0.01586637010802694
Model 3,inclusion_climate,-0.055245743172011474,0.031637050598945296,0.0807700258758512,0.0992431457151488,0.01586637010802694
Model 3,org_identification,0.15127103712427659,0.028068074946772003,7.067993495448521e-08,0.0992431457151488,0.01586637010802694
Model 4,gender_male,-0.023207962250217207,0.022135691963135168,0.2944355711366673,0.09937711573716235,0.0001339700220135409
Model 4,age,-0.07015094287267543,0.023167272218928878,0.0024616252473755452,0.09937711573716235,0.0001339700220135409
Model 4,public_org,-0.09847281591099878,0.022734318261100075,1.4812309786149107e-05,0.09937711573716235,0.0001339700220135409
Model 4,equity_climate,0.22090756183315005,0.037124412954276674,2.673799032154218e-09,0.09937711573716235,0.0001339700220135409
Model 4,inclusion_climate,-0.058353373279958654,0.03220317551754986,0.06998034661865404,0.09937711573716235,0.0001339700220135409
Model 4,org_identification,0.14951264146475926,0.028260042228967275,1.2191427671924004e-07,0.09937711573716235,0.0001339700220135409
Model 4,ethical_leadership,0.01638369029435547,0.03350530477946731,0.6248502280143855,0.09937711573716235,0.0001339700220135409
